parent_code,code,name
0,37567646,ДКСУ
37567646,37979858,ГУДКСУ у Вінницькій області
37979858,38027888,Управління Державної казначейської служби України у Барському районі Вінницької області
37979858,37908394,Управління Державної казначейської служби України у Бершадському районі Вінницької області
37979858,38054712,Управління Державної казначейської служби України у Вінницькому районі Вінницької області
37979858,37957640,Управління Державної казначейської служби України у Гайсинському районі Вінницької області
37979858,37755173,Управління Державної казначейської служби України у Жмеринському районі та м.Жмеринці Вінницької області
37979858,37798840,Управління Державної казначейської служби України у Іллінецькому районі Вінницької області
37979858,37503268,Управління Державної казначейської служби України у Калинівському районі Вінницької області
37979858,37926586,Управління Державної казначейської служби України у Козятинському районі та м. Козятині  Вінницької області
37979858,37338187,Управління Державної казначейської служби України у Крижопільському районі Вінницької області
37979858,37336986,Управління Державної казначейської служби України у Липовецькому районі Вінницької області
37979858,37908279,Управління Державної казначейської служби України у Літинському районі Вінницької області
37979858,38031302,Управління Державної казначейської служби України у Могилів-Подільському районі та м. Могилів-Подільському Вінницької області
37979858,37619070,Управління Державної казначейської служби України у Мурованокуриловецькому районі Вінницької області
37979858,37336738,Управління Державної казначейської служби України у Немирівському районі Вінницької області
37979858,38055454,Управління Державної казначейської служби України у Оратівському районі Вінницької області
37979858,37908698,Управління Державної казначейської служби України у Піщанському районі Вінницької області
37979858,37926680,Управління Державної казначейської служби України у Погребищенському районі Вінницької області
37979858,37337576,Управління Державної казначейської служби України у Теплицькому районі Вінницької області
37979858,36331505,Управління Державної казначейської служби України у Томашпільському районі Вінницької області
37979858,38051690,Управління Державної казначейської служби України у Тростянецькому районі Вінницької області
37979858,37337246,Управління Державної казначейської служби України у Тиврівському районі Вінницької області
37979858,37897753,Управління Державної казначейської служби України у Тульчинському районі Вінницької області
37979858,37730494,Управління Державної казначейської служби України у Хмільницькому районі та м. Хмільнику Вінницької області
37979858,37248172,Управління Державної казначейської служби України у Чернівецькому районі Вінницької області
37979858,37647658,Управління Державної казначейської служби України у Чечельницькому районі Вінницької області
37979858,37337796,Управління Державної казначейської служби України у Шаргородському районі Вінницької області
